questions,answers,questions_with_answers,entity,image_ids
"RT @IslandCampus : Good luck on those final exams , Islanders ! Don ' t forget to touch your foot to Dr . Hector P ' s statue for extra luck ! http:… Which word(s) correspond to the organization in the sentence? ",Islanders P Hector,"RT @IslandCampus : Good luck on those final exams , Islanders ! Don ' t forget to touch your foot to Dr . Hector P ' s statue for extra luck ! http:… Which word(s) correspond to the organization in the sentence? Answer: Islanders P Hector",organization,74306.jpg
RT @GirlNotes : I am Cody http://t.co/DNUx9OHYJI Which word(s) correspond to the person in the sentence? ,Cody,RT @GirlNotes : I am Cody http://t.co/DNUx9OHYJI Which word(s) correspond to the person in the sentence? Answer: Cody,person,1502926.jpg
RT @Ordinary _ BD : Romania - Land of Fairy Tales #nature Photo by Eduard Gutescu http://t.co/5gjd53VN0x Which word(s) correspond to the location in the sentence? ,Romania,RT @Ordinary _ BD : Romania - Land of Fairy Tales #nature Photo by Eduard Gutescu http://t.co/5gjd53VN0x Which word(s) correspond to the location in the sentence? Answer: Romania,location,555280.jpg
RT @edutopia : In remembrance of John F . Kennedy . What are your hopes and dreams for education ? http://t.co/nKwXwvwH59 Which word(s) correspond to the person in the sentence? ,John Kennedy,RT @edutopia : In remembrance of John F . Kennedy . What are your hopes and dreams for education ? http://t.co/nKwXwvwH59 Which word(s) correspond to the person in the sentence? Answer: John Kennedy,person,1042548.jpg
"Love the idea , however unlikely : UIC ' s vision for Obama library includes deck over Circle http://t.co/dB8rbWGe5Z http://t.co/TaO0qfggla Which word(s) correspond to the organization in the sentence? ",UIC,"Love the idea , however unlikely : UIC ' s vision for Obama library includes deck over Circle http://t.co/dB8rbWGe5Z http://t.co/TaO0qfggla Which word(s) correspond to the organization in the sentence? Answer: UIC",organization,72230.jpg
Peace out LA ! #vacationtime http://t.co/3unXjFik Which word(s) correspond to the location in the sentence? ,LA,Peace out LA ! #vacationtime http://t.co/3unXjFik Which word(s) correspond to the location in the sentence? Answer: LA,location,233374.jpg
Sonny and Cher play the Empire Room 1970 #palmerportraits #MW2015 @PalmerHouse http://t.co/kLsohuwFRR Which word(s) correspond to the person in the sentence? ,Sonny,Sonny and Cher play the Empire Room 1970 #palmerportraits #MW2015 @PalmerHouse http://t.co/kLsohuwFRR Which word(s) correspond to the person in the sentence? Answer: Sonny,person,884984.jpg
RT @estNATO : #US To Send #B-52s To #Sweden for EX #BALTOPS http://t.co/rVPpwGEdOI http://t.co/Vutxc2BfGD Which word(s) correspond to the location in the sentence? ,#US,RT @estNATO : #US To Send #B-52s To #Sweden for EX #BALTOPS http://t.co/rVPpwGEdOI http://t.co/Vutxc2BfGD Which word(s) correspond to the location in the sentence? Answer: #US,location,72695.jpg
RT @TourismFiji : Top 10 things to do whilst surfing in Fiji http://t.co/uXtrJBbb2W via @namotu_island http://t.co/HmDFUuFymG Which word(s) correspond to the location in the sentence? ,Fiji,RT @TourismFiji : Top 10 things to do whilst surfing in Fiji http://t.co/uXtrJBbb2W via @namotu_island http://t.co/HmDFUuFymG Which word(s) correspond to the location in the sentence? Answer: Fiji,location,797209.jpg
"Visiting Bologna University , where arts &amp ; sciences equally important . Cf . http://t.co/8uhqk5bkvo by @sarahchurchwell http://t.co/osMjdN5unA Which word(s) correspond to the organization in the sentence? ",Bologna University,"Visiting Bologna University , where arts &amp ; sciences equally important . Cf . http://t.co/8uhqk5bkvo by @sarahchurchwell http://t.co/osMjdN5unA Which word(s) correspond to the organization in the sentence? Answer: Bologna University",organization,1413646.jpg
RT @Gabriele _ Corno : Seagulls by Marina Cano http://t.co/MIDyrTb1wi Which word(s) correspond to the person in the sentence? ,Marina Cano,RT @Gabriele _ Corno : Seagulls by Marina Cano http://t.co/MIDyrTb1wi Which word(s) correspond to the person in the sentence? Answer: Marina Cano,person,213612.jpg
"RT @SpencerAlthouse : The transformation is complete . Neil Patrick Harris is now , himself , an Oscar . http://t.co/9r33i1ikBD Which word(s) correspond to the person in the sentence? ",Neil Harris Patrick,"RT @SpencerAlthouse : The transformation is complete . Neil Patrick Harris is now , himself , an Oscar . http://t.co/9r33i1ikBD Which word(s) correspond to the person in the sentence? Answer: Neil Harris Patrick",person,1351289.jpg
RT @VinDieselPage : Vin Diesel is Groot . . . @Guardians http://t.co/ZcMEPOF8qr #GotG http://t.co/oneVKdYxEL Which word(s) correspond to the person in the sentence? ,Vin Diesel,RT @VinDieselPage : Vin Diesel is Groot . . . @Guardians http://t.co/ZcMEPOF8qr #GotG http://t.co/oneVKdYxEL Which word(s) correspond to the person in the sentence? Answer: Vin Diesel,person,1101213.jpg
Arnab at #LiarTimesNow rubbishes everyone who produces a counter opinion ! Unhealthy debates and opinionated agenda ! http://t.co/rgljVmPz8Z Which word(s) correspond to the person in the sentence? ,Arnab,Arnab at #LiarTimesNow rubbishes everyone who produces a counter opinion ! Unhealthy debates and opinionated agenda ! http://t.co/rgljVmPz8Z Which word(s) correspond to the person in the sentence? Answer: Arnab,person,818604.jpg
#Syria refugee kids locked up in #Egypt police stations get skin diseases due to horrid conditions &amp ; no natural light http://t.co/mwA7M2ba4y Which word(s) correspond to the location in the sentence? ,#Syria,#Syria refugee kids locked up in #Egypt police stations get skin diseases due to horrid conditions &amp ; no natural light http://t.co/mwA7M2ba4y Which word(s) correspond to the location in the sentence? Answer: #Syria,location,1026603.jpg
Man accused of posing as Navy SEAL in Arizona scam http://t.co/bt0cmuiqJJ http://t.co/slUKiLPLig Which word(s) correspond to the organization in the sentence? ,Navy SEAL,Man accused of posing as Navy SEAL in Arizona scam http://t.co/bt0cmuiqJJ http://t.co/slUKiLPLig Which word(s) correspond to the organization in the sentence? Answer: Navy SEAL,organization,422288.jpg
We may have underestimated Samaritan but Samaritan has underestimated the Machine . I miss this duo #FinchxReese http://t.co/nRi7g2WQvE Which word(s) correspond to the person in the sentence? ,Samaritan,We may have underestimated Samaritan but Samaritan has underestimated the Machine . I miss this duo #FinchxReese http://t.co/nRi7g2WQvE Which word(s) correspond to the person in the sentence? Answer: Samaritan,person,733608.jpg
RT @WORLDSTARC0MEDY : Jaden Christ and Willow Einstein too advanced for us http://t.co/rBoO4ifd4f Which word(s) correspond to the person in the sentence? ,Jaden Christ,RT @WORLDSTARC0MEDY : Jaden Christ and Willow Einstein too advanced for us http://t.co/rBoO4ifd4f Which word(s) correspond to the person in the sentence? Answer: Jaden Christ,person,74601.jpg
RT @SlyDude3677 : Elizabeth Warren on the Supreme Court . . . . . #uniteblue #tcot #scotus #warren http://t.co/hQl9v7iPSe Which word(s) correspond to the person in the sentence? ,Elizabeth Warren,RT @SlyDude3677 : Elizabeth Warren on the Supreme Court . . . . . #uniteblue #tcot #scotus #warren http://t.co/hQl9v7iPSe Which word(s) correspond to the person in the sentence? Answer: Elizabeth Warren,person,1007628.jpg
Sisters of St . Francis announce plan to move remains of Saint Marianne Cope from Syracuse to Hawaii . http://t.co/bsiE1iYYCC Which word(s) correspond to the person in the sentence? ,Saint Cope Marianne,Sisters of St . Francis announce plan to move remains of Saint Marianne Cope from Syracuse to Hawaii . http://t.co/bsiE1iYYCC Which word(s) correspond to the person in the sentence? Answer: Saint Cope Marianne,person,1107812.jpg
"Bad wreck on i40 near Sandy Ridge Road , one lane blocked , traffic very slow . http://t.co/0amTABPob7 Which word(s) correspond to the misceallonous entity in the sentence? ",i40,"Bad wreck on i40 near Sandy Ridge Road , one lane blocked , traffic very slow . http://t.co/0amTABPob7 Which word(s) correspond to the misceallonous entity in the sentence? Answer: i40",misceallonous entity,418041.jpg
RT @ComedyPosts : Here comes hurricane Sandy http://t.co/PwrC2DMq Which word(s) correspond to the misceallonous entity in the sentence? ,Sandy,RT @ComedyPosts : Here comes hurricane Sandy http://t.co/PwrC2DMq Which word(s) correspond to the misceallonous entity in the sentence? Answer: Sandy,misceallonous entity,114566.jpg
RT @artsiverse : Water Lilies ( 1917 ) by Claude Monet http://t.co/DUxTbjYrhS Which word(s) correspond to the misceallonous entity in the sentence? ,Water Lilies,RT @artsiverse : Water Lilies ( 1917 ) by Claude Monet http://t.co/DUxTbjYrhS Which word(s) correspond to the misceallonous entity in the sentence? Answer: Water Lilies,misceallonous entity,350380.jpg
Cooking class with Fatimzerah and Mokhtar @FSMarrakech #cookingclass http://t.co/msjPGa4Ruw Which word(s) correspond to the person in the sentence? ,Fatimzerah,Cooking class with Fatimzerah and Mokhtar @FSMarrakech #cookingclass http://t.co/msjPGa4Ruw Which word(s) correspond to the person in the sentence? Answer: Fatimzerah,person,1327405.jpg
Cocina / Kitchen #Interiorismo #Arquitectura http://t.co/Fyndu2sfOc Which word(s) correspond to the organization in the sentence? ,#Arquitectura,Cocina / Kitchen #Interiorismo #Arquitectura http://t.co/Fyndu2sfOc Which word(s) correspond to the organization in the sentence? Answer: #Arquitectura,organization,1077115.jpg
"What will Apple reveal here at the #AppleEvent ? Apple using about half of the Civic for seats , the other for a stage http://t.co/8AFpMRSG5p Which word(s) correspond to the organization in the sentence? ",Apple,"What will Apple reveal here at the #AppleEvent ? Apple using about half of the Civic for seats , the other for a stage http://t.co/8AFpMRSG5p Which word(s) correspond to the organization in the sentence? Answer: Apple",organization,250269.jpg
Salmonella outbreak linked to cucumbers ; 66 cases in Arizona http://t.co/TZeYSuqxNr http://t.co/dU9f1LElOp Which word(s) correspond to the misceallonous entity in the sentence? ,Salmonella,Salmonella outbreak linked to cucumbers ; 66 cases in Arizona http://t.co/TZeYSuqxNr http://t.co/dU9f1LElOp Which word(s) correspond to the misceallonous entity in the sentence? Answer: Salmonella,misceallonous entity,420695.jpg
RT @JohnFugelsang : Spencer Tracy &amp ; Hemingway . Good morning . http://t.co/M2hbWgCwQy Which word(s) correspond to the person in the sentence? ,Spencer Tracy,RT @JohnFugelsang : Spencer Tracy &amp ; Hemingway . Good morning . http://t.co/M2hbWgCwQy Which word(s) correspond to the person in the sentence? Answer: Spencer Tracy,person,94207.jpg
Occupational hazard : Linesman Derek Amell takes a hit as he breaks up Oduya and Brown . Photos : http://t.co/bksd5SNrKZ http://t.co/ciqsjsJFwl Which word(s) correspond to the person in the sentence? ,Linesman Amell Derek,Occupational hazard : Linesman Derek Amell takes a hit as he breaks up Oduya and Brown . Photos : http://t.co/bksd5SNrKZ http://t.co/ciqsjsJFwl Which word(s) correspond to the person in the sentence? Answer: Linesman Amell Derek,person,70899.jpg
Loving the custom decals that Vornado chose for their new i3 . Congrats ! #MyCarMonday http://t.co/810njwbiIE Which word(s) correspond to the person in the sentence? ,Vornado,Loving the custom decals that Vornado chose for their new i3 . Congrats ! #MyCarMonday http://t.co/810njwbiIE Which word(s) correspond to the person in the sentence? Answer: Vornado,person,744334.jpg
RT @ross _ rlz : Sam Levene originated the role of Nathan Detroit on the stage . #TCMParty http://t.co/mVMTD6p9zW Which word(s) correspond to the person in the sentence? ,Sam Levene,RT @ross _ rlz : Sam Levene originated the role of Nathan Detroit on the stage . #TCMParty http://t.co/mVMTD6p9zW Which word(s) correspond to the person in the sentence? Answer: Sam Levene,person,93327.jpg
@DixonsCarphone Group CEO Andrew Harrison getting in the Average to Awesome Spirit at Conference NEC - A Great Sport http://t.co/jhp9Aei2PP Which word(s) correspond to the person in the sentence? ,Andrew Harrison,@DixonsCarphone Group CEO Andrew Harrison getting in the Average to Awesome Spirit at Conference NEC - A Great Sport http://t.co/jhp9Aei2PP Which word(s) correspond to the person in the sentence? Answer: Andrew Harrison,person,1060397.jpg
"Inspired by her new sporting heroes , this young Russian fan has a go at Sledge Hockey . http://t.co/lvylIHh68y Which word(s) correspond to the misceallonous entity in the sentence? ",Sledge Hockey,"Inspired by her new sporting heroes , this young Russian fan has a go at Sledge Hockey . http://t.co/lvylIHh68y Which word(s) correspond to the misceallonous entity in the sentence? Answer: Sledge Hockey",misceallonous entity,701675.jpg
Artwork inside the Elks Memorial in Lincoln Park http://t.co/w7Fvp46q4Q Which word(s) correspond to the location in the sentence? ,Elks Memorial,Artwork inside the Elks Memorial in Lincoln Park http://t.co/w7Fvp46q4Q Which word(s) correspond to the location in the sentence? Answer: Elks Memorial,location,73415.jpg
Make sure to check out #TheSpoils with Jesse Eisenberg ! It officially opens tonight @TheNewGroupNYC http://t.co/ZGlyQqId9J Which word(s) correspond to the person in the sentence? ,Jesse Eisenberg,Make sure to check out #TheSpoils with Jesse Eisenberg ! It officially opens tonight @TheNewGroupNYC http://t.co/ZGlyQqId9J Which word(s) correspond to the person in the sentence? Answer: Jesse Eisenberg,person,30247.jpg
"In Arizona , you can now get lab tests w/o a lab order , for the very first time . http://t.co/XikGp94A1t http://t.co/iSMh9j4Sdf #OwnYourHealth Which word(s) correspond to the location in the sentence? ",Arizona,"In Arizona , you can now get lab tests w/o a lab order , for the very first time . http://t.co/XikGp94A1t http://t.co/iSMh9j4Sdf #OwnYourHealth Which word(s) correspond to the location in the sentence? Answer: Arizona",location,1711960.jpg
RT @NeedToCare : Paula has been waiting to be adopted for 2 YEARS ! Could U offer her a home ? Pls RT http://t.co/jTQr1DUR http://t.co/HXz ... Which word(s) correspond to the misceallonous entity in the sentence? ,Paula,RT @NeedToCare : Paula has been waiting to be adopted for 2 YEARS ! Could U offer her a home ? Pls RT http://t.co/jTQr1DUR http://t.co/HXz ... Which word(s) correspond to the misceallonous entity in the sentence? Answer: Paula,misceallonous entity,21814.jpg
